r,g,b,h,s,v,c,m,y,k,hex,name
255,253,1,0.1654,0.9961,1.0,0.0,0.0078,0.9961,0.0,FFFD01,Bright Yellow
238,234,98,0.1619,0.5882,0.9333,0.0,0.0168,0.5882,0.0667,EEEA62,Greenish Yellow
255,218,3,0.1422,0.9882,1.0,0.0,0.1451,0.9882,0.0,FFDA03,Sunflower
252,226,5,0.1491,0.9802,0.9882,0.0,0.1032,0.9802,0.0118,FCE205,Bumblebee
255,253,116,0.1643,0.5451,1.0,0.0,0.0078,0.5451,0.0,FFFD74,Butter
255,227,110,0.1345,0.5686,1.0,0.0,0.1098,0.5686,0.0,FFE36E,Yellow Tan
255,225,53,0.1419,0.7922,1.0,0.0,0.1176,0.7922,0.0,FFE135,Banana
252,209,42,0.1325,0.8333,0.9882,0.0,0.1706,0.8333,0.0118,FCD12A,Tuscany
196,145,2,0.1229,0.9898,0.7686,0.0,0.2602,0.9898,0.2314,C49102,Dijon
254,220,86,0.1329,0.6614,0.9961,0.0,0.1339,0.6614,0.0039,FEDC56,Mustard
250,250,55,0.1667,0.78,0.9804,0.0,0.0,0.78,0.0196,FAFA37,Maximum Yellow
248,222,126,0.1311,0.4919,0.9725,0.0,0.1048,0.4919,0.0275,F8DE7E,Mellow Yellow
255,255,102,0.1667,0.6,1.0,0.0,0.0,0.6,0.0,FFFF66,Unmellow Yellow
204,160,29,0.1248,0.8578,0.8,0.0,0.2157,0.8578,0.2,CCA01D,Lemon Curry
253,238,0,0.1568,1.0,0.9922,0.0,0.0593,1.0,0.0078,FDEE00,Aureolin
255,255,51,0.1667,0.8,1.0,0.0,0.0,0.8,0.0,FFFF33,Electric Yellow
255,254,113,0.1655,0.5569,1.0,0.0,0.0039,0.5569,0.0,FFFE71,Pastel Yellow
60,176,67,0.3434,0.6591,0.6902,0.6591,0.0,0.6193,0.3098,3CB043,Green
176,252,56,0.2313,0.7778,0.9882,0.3016,0.0,0.7778,0.0118,B0FC38,Chartreuse
58,83,17,0.2298,0.7952,0.3255,0.3012,0.0,0.7952,0.6745,3A5311,Juniper
114,140,105,0.2905,0.25,0.549,0.1857,0.0,0.25,0.451,728C69,Sage
174,243,89,0.2413,0.6337,0.9529,0.284,0.0,0.6337,0.0471,AEF359,Lime
93,187,99,0.344,0.5027,0.7333,0.5027,0.0,0.4706,0.2667,5DBB63,Fern
152,191,100,0.2381,0.4764,0.749,0.2042,0.0,0.4764,0.251,98BF64,Olive
2,138,15,0.3493,0.9855,0.5412,0.9855,0.0,0.8913,0.4588,028A0F,Emerald
